TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910161901
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,22,2024/2/14 8:02:47,67.0663,92.3619,56.9338,113.9283,144.9826,134.3207,99.8360,69.1728,39.0400,8.6140,0.0000,0.0000,0.0000,826.2564,38.0394,44.3315,36.1075,36.5174,1.9195,1.2000,1.4,Tilt error; Inlet flow error; Charger flow error; 
1,23,2024/2/14 8:03:47,59.2163,83.7668,63.2470,102.3445,134.6217,131.7135,97.8165,53.3326,15.0200,0.0000,0.0000,0.0000,0.0000,741.0789,36.8558,40.6302,34.1898,36.5174,1.8290,1.2000,1.4,Inlet flow error; Filling reservoir; Charger flow error; 
1,24,2024/2/14 8:04:47,53.8855,70.2691,67.8039,108.0763,122.9962,104.9902,72.3952,44.0677,20.3999,3.0697,0.0000,0.0000,0.0000,667.9538,34.8915,40.4313,33.6308,36.5174,1.8429,1.2000,1.4,Inlet flow error; Charger flow error; 
1,25,2024/2/14 8:05:47,68.6531,71.8017,48.9852,116.4604,139.7964,112.1975,67.6266,41.8319,27.6910,12.7838,0.0000,0.0000,0.0000,707.8276,35.6107,42.1608,34.2615,36.5174,1.9042,1.2000,1.4,Inlet flow error; Charger flow error; 
1,26,2024/2/14 8:06:47,58.8803,87.8545,69.0989,118.3432,145.6262,132.9219,94.8921,57.0987,25.7312,3.1326,0.0000,0.0000,0.0000,793.5796,36.5325,41.6388,34.6713,36.5174,1.8489,1.2000,1.4,Inlet flow error; Charger flow error; 
1,27,2024/2/14 8:07:47,56.6129,99.6771,72.9259,113.9232,137.5610,132.7203,109.0554,83.0353,49.2320,12.0560,0.0000,0.0000,0.0000,866.7991,38.9429,46.2697,37.3996,36.5174,1.9418,1.2000,1.4,Inlet flow error; Charger flow error; 
1,28,2024/2/14 8:08:47,74.0616,97.5197,67.0075,106.7669,142.6859,146.1651,120.3529,81.3045,40.1362,7.0295,0.0000,0.0000,0.0000,883.0299,39.1323,44.7986,36.4804,48.6968,1.9309,1.2000,1.4,Inlet flow error; Charger flow error; 
1,29,2024/2/14 8:09:47,70.1826,93.8015,71.8258,124.9399,157.1998,148.3911,113.3928,76.2253,42.5216,13.1544,0.0000,0.0000,0.0000,911.6349,38.3953,44.9943,36.6212,36.5174,1.9192,1.2000,1.4,Inlet flow error; Charger flow error; 
1,30,2024/2/14 8:10:47,55.1470,92.4223,77.5741,106.6009,140.2450,148.2766,125.1526,81.3633,36.9445,4.5582,0.0000,0.0000,0.0000,868.2845,39.7313,44.9799,37.1725,48.6968,1.8853,1.2000,1.4,Inlet flow error; Charger flow error; 
1,31,2024/2/14 8:11:47,49.4137,103.5696,89.1275,119.6305,138.5629,135.2180,114.3033,86.3124,51.1084,13.8188,0.0000,0.0000,0.0000,901.0652,38.7794,46.4376,37.5829,36.5174,1.9327,1.2000,1.4,Inlet flow error; Charger flow error; 
1,32,2024/2/14 8:12:47,57.6985,88.9772,76.2764,116.0236,143.1867,141.0924,116.9094,84.4242,48.6931,13.8116,0.0000,0.0000,0.0000,887.0929,39.7332,46.8183,38.0377,36.5174,1.9287,1.2000,1.4,Inlet flow error; Charger flow error; 
