Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330224703
Firmware Version,1.4
Calibration Date,2022/11/22
Protocol Name_Number,TEST_039
Test Start Time,07:53:22
Test Start Date,2024/02/15
Test Length [D:H:M:S],0:2:54:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,Filter Warning
Number of Samples,174
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
2460,103233,88495,82988,48458,62166,88372,54980,74122,91671,89755,74474,63203,52114,35065,29274,23177,20700,12.872993,21.411,0.000,100.764,,,
2520,102594,88239,82920,48099,62119,88843,55118,74375,92408,89406,74688,63820,51457,34995,28808,22582,19013,12.841995,21.574,0.000,100.764,,,
2580,101044,87531,82113,47614,60262,86807,53694,72167,89988,86640,72215,61049,48893,32908,26809,20104,16261,12.426532,21.730,0.000,100.764,,,
2640,100456,86224,79827,46469,57553,83397,51784,69822,86282,82888,68682,58250,47384,31525,25580,19652,16181,11.963695,21.878,0.000,100.764,,,
2700,100455,86282,80954,46648,57859,84546,51751,70412,86836,82977,68441,57527,45731,30301,24217,18401,14341,11.850451,22.026,0.000,100.764,,,
2760,99637,86157,80017,46628,57249,84493,52098,70120,86289,82839,68664,57319,45710,30362,24488,18424,14579,11.829488,22.181,0.000,100.765,,,
2820,98437,84253,78565,45450,54827,81710,50516,67483,82981,79201,65431,54821,43633,28807,23241,16919,13479,11.380088,22.327,0.000,100.766,,,
2880,96115,82690,76882,44795,52883,79558,48487,66096,80517,77287,63783,53503,42832,28173,22807,16823,12951,11.100229,22.470,0.000,100.768,,,
2940,94829,81984,74946,43512,51571,77517,47334,63585,77807,74335,60836,50772,39721,25800,20465,14723,10724,10.650733,22.618,0.000,100.770,,,
3000,92054,78870,72475,41763,48709,73216,44877,60402,73822,70126,58061,48103,38542,25196,20474,15134,11284,10.229630,22.752,0.000,100.773,,,
3060,91428,77568,71371,40697,46749,70871,44017,58195,71159,66838,54834,45778,35364,22841,18124,12855,9823,9.713163,22.886,0.000,100.777,,,
3120,91011,76973,70228,40475,45668,70381,43273,57249,69739,66541,54442,45110,35641,23189,18236,13183,9647,9.624069,23.026,0.000,100.783,,,
3180,90755,76740,70182,40413,44693,70487,42829,56663,69921,65616,53531,43936,34239,22171,17364,12082,8777,9.493632,23.163,0.000,100.786,,,
3240,89228,75928,68742,38842,42920,67134,40899,54703,66241,62481,50568,41384,31988,20764,15911,11187,7944,9.080599,23.292,0.000,100.788,,,
3300,88335,73641,65883,37795,40348,65291,39250,52419,63204,59769,48650,39428,30878,19939,15394,11064,7989,8.736841,23.421,0.000,100.793,,,
3360,87992,72993,66038,38089,39944,64750,39109,52466,63365,59177,47631,38740,30006,19215,14868,10483,7227,8.638196,23.545,0.000,100.794,,,
3420,87424,72527,64941,37516,39131,63713,38644,51720,62514,58511,46913,38228,29593,18811,14280,9930,6713,8.517385,23.669,0.000,100.794,,,
3480,85206,70667,62515,35712,36662,60520,36440,48918,58381,54996,44265,36236,27736,17684,13482,9650,6653,8.091476,23.788,0.000,100.794,,,
3540,82665,68790,60208,34628,35591,58390,35157,46658,56082,52150,41791,34029,26159,16543,12656,8785,5745,7.767056,23.909,0.000,100.794,,,
3600,83069,67696,60116,34033,34350,57736,34717,46292,54691,50859,41065,33094,25404,15829,11982,8312,5533,7.635038,24.029,0.000,100.794,,,
3660,82050,67363,59076,33329,33553,56264,33780,45092,53609,49922,39494,32272,24214,15348,11649,7811,5259,7.446169,24.147,0.000,100.795,,,
3720,80480,66203,58150,32739,32480,54620,32722,43701,52206,47954,38292,30701,23279,14554,10824,7311,4752,7.211578,24.257,0.000,100.795,,,
3780,79423,65393,57115,32246,31897,54136,32033,43051,50864,46903,37351,29883,22527,13755,10250,6975,4348,7.036434,24.360,0.000,100.794,,,
3840,79605,65503,56800,32147,31110,53950,32219,42498,50418,45999,36907,29344,21893,13508,9878,6449,4129,6.945480,24.462,0.000,100.795,,,
3900,78576,64504,55689,31462,30298,52435,31206,41406,48823,45198,35800,28292,21220,13014,9550,6367,3924,6.787312,24.579,0.000,100.795,,,
3960,78671,64749,56139,31704,30721,53056,31519,42036,49606,45827,36288,28774,21872,13285,9790,6377,3948,6.874053,24.684,0.000,100.795,,,
4020,77690,63336,54546,30763,29626,51874,30701,40591,47693,44708,35090,28107,21302,12937,9626,6448,3946,6.677090,24.785,0.000,100.795,,,
4080,75830,61731,53542,30067,28343,50123,29389,39154,46045,42778,33551,26802,19727,12171,8961,5838,3463,6.401572,24.887,0.000,100.795,,,
4140,74456,60905,52118,29257,27778,47859,28199,37462,44532,40625,32428,25321,18479,11339,8009,5229,3111,6.170216,24.990,0.000,100.796,,,
4200,73694,59668,51318,28398,27289,47107,27641,37107,43601,39761,31311,24734,18504,11231,8134,5217,3136,6.062645,25.092,0.000,100.795,,,
4260,72687,58500,49434,27539,26201,45508,26437,35447,41983,38822,30005,23523,17485,10540,7619,4881,2791,5.833259,25.182,0.000,100.795,,,
4320,71407,57981,49160,26959,25465,44909,26128,34914,40583,37429,28957,22536,16850,10090,7470,4567,2676,5.679647,25.276,0.000,100.797,,,
4380,71125,57421,48228,27167,25064,44279,25934,34630,40071,36730,28550,22661,16567,9990,7242,4495,2555,5.597790,25.374,0.000,100.798,,,
4440,69363,56145,46979,26240,24185,42492,25231,33331,38893,35360,27569,21394,15775,9435,6838,4298,2270,5.407163,25.465,0.000,100.797,,,
4500,69235,55199,46222,25653,23567,41931,24481,32590,38037,33935,26568,20976,15295,9045,6546,3883,2185,5.282484,25.566,0.000,100.801,,,
4560,67255,53843,45092,24907,22612,39644,23292,30865,36073,32838,25579,20047,14497,8702,6144,3785,2114,5.083494,25.656,0.000,100.803,,,
4620,66403,52556,43879,23758,22020,38345,22600,30089,34807,31443,24447,18764,13795,8173,5833,3602,1809,4.901941,25.744,0.000,100.804,,,
4680,65213,52288,42848,23449,21421,37350,21970,29135,33708,30637,23483,18357,13314,7901,5374,3252,1752,4.750980,25.831,0.000,100.800,,,
4740,64209,51136,42651,23205,20817,36627,21264,28321,33305,29952,23226,18091,12970,7678,5309,3214,1733,4.662311,25.920,0.000,100.801,,,
4800,64195,50922,41518,22660,20674,36522,20891,27899,32183,29293,22428,17440,12532,7319,5164,3026,1515,4.572979,26.009,0.000,100.800,,,
4860,63880,50834,41352,22596,20524,35871,20690,27736,32010,28945,22219,17085,12413,7255,4750,2889,1495,4.527878,26.092,0.000,100.801,,,
4920,63912,50080,41526,22550,20426,35703,20783,27551,31716,28872,22040,17065,12152,6960,4870,2868,1474,4.498879,26.174,0.000,100.803,,,
4980,62351,49302,39874,21607,19163,34206,19652,26127,30519,27317,21234,15983,11292,6665,4479,2561,1305,4.302001,26.255,0.000,100.801,,,
5040,61087,48449,39280,21394,19323,33360,19246,25356,29641,26567,20516,15566,11333,6380,4473,2634,1326,4.232446,26.335,0.000,100.798,,,
5100,61731,48618,39511,21694,19324,34116,19912,26159,30279,26967,20506,15802,11379,6522,4359,2617,1254,4.283616,26.414,0.000,100.799,,,
5160,60758,47710,38649,20954,18854,32595,19094,25151,28610,25785,19639,15417,10760,6226,4143,2439,1215,4.127937,26.494,0.000,100.801,,,
5220,58923,46022,37425,19990,18102,31697,18216,23820,27541,24921,19144,14414,10230,5663,4006,2310,1152,3.966374,26.574,0.000,100.799,,,
5280,60646,47259,38148,20484,18562,32509,19088,24329,28803,25528,19252,14727,10275,5848,4031,2383,1129,4.066773,26.649,0.000,100.800,,,
5340,59680,46468,37838,20249,18289,31545,18369,24212,27438,24759,19226,14351,10026,5668,3870,2259,1054,3.981725,26.721,0.000,100.800,,,
5400,59218,45747,36917,19849,17946,30307,17856,23294,26890,24203,18232,13709,9557,5394,3633,2049,975,3.870730,26.793,0.000,100.799,,,
5460,58079,45090,35851,19138,17299,29879,17325,22984,26122,23308,17977,13507,9410,5349,3595,2080,986,3.793171,26.866,0.000,100.802,,,
5520,57858,45365,35984,19280,17244,29705,17300,22464,26018,23242,17665,13227,9323,5215,3446,2018,927,3.773795,26.930,0.000,100.802,,,
5580,57357,44224,35056,18547,17047,28780,16627,22017,25250,22303,16734,12767,8811,4970,3257,1870,870,3.652390,27.000,0.000,100.804,,,
5640,57014,44106,34485,18558,16582,28260,16427,21621,24476,22062,16549,12573,8696,5048,3268,1841,895,3.604846,27.073,0.000,100.804,,,
5700,56317,43538,34198,18214,16517,28049,16032,21280,24592,21665,16384,12140,8397,4741,3110,1733,819,3.550599,27.141,0.000,100.806,,,
5760,56006,43105,33636,17812,16092,27519,15945,21121,23929,21231,15867,11965,8155,4544,3076,1719,728,3.491717,27.209,0.000,100.800,,,
5820,53789,40879,31818,16895,14836,25373,14329,19037,21595,19334,14386,10672,7335,4145,2600,1483,622,3.210502,27.273,0.000,100.801,,,
5880,53497,41760,31931,17229,15210,26213,14819,19524,22233,19575,14691,10772,7503,4102,2720,1453,728,3.262544,27.340,0.000,100.798,,,
5940,53644,41322,32410,17138,15230,25601,14869,19455,22111,19559,14797,10992,7508,4405,2806,1542,774,3.269382,27.400,0.000,100.802,,,
6000,52989,40550,31369,16661,14843,24972,14501,19082,21653,18940,14145,10391,7143,3851,2577,1372,658,3.166147,27.466,0.000,100.807,,,
6060,52506,39824,30506,16185,14466,24330,13987,18303,21103,18370,13828,10106,7008,3846,2469,1390,678,3.093705,27.534,0.000,100.803,,,
6120,50985,38802,30052,15642,13895,23548,13418,17742,19947,17704,13225,9801,6552,3657,2225,1282,591,2.991872,27.596,0.000,100.801,,,
6180,50614,38683,29689,15665,13687,22840,13235,17342,19536,17010,12950,9416,6484,3333,2194,1220,516,2.938962,27.658,0.000,100.800,,,
6240,51004,38792,30242,15654,13899,23326,13573,17815,19912,17456,12904,9514,6415,3530,2235,1179,488,2.973133,27.714,0.000,100.800,,,
6300,50070,38520,29463,15281,13444,22628,13168,17082,19155,16685,12409,9162,6182,3303,1994,1081,454,2.868692,27.761,0.000,100.800,,,
6360,48936,37512,28271,14809,13004,21746,12113,16166,18159,15900,11649,8646,5891,3081,1938,1050,429,2.746559,27.821,0.000,100.804,,,
6420,55837,42475,33281,17574,15524,26440,15194,19857,22390,19707,14657,10563,7271,3968,2532,1431,941,3.307320,27.883,0.000,100.802,,,
6480,59748,45728,36627,19767,17607,30427,17362,23606,26427,23460,17439,12955,8801,5000,3350,1978,1183,3.788375,27.937,0.000,100.802,,,
6540,59339,45299,36099,19464,17576,29921,17177,22514,25552,22011,16445,12147,8080,4404,2775,1587,800,3.661659,27.992,0.000,100.798,,,
6600,58207,44509,35542,18978,17064,29126,16773,22090,24587,21569,15902,11740,7770,4183,2714,1597,783,3.567285,28.052,0.000,100.800,,,
6660,56742,43866,34656,18429,16578,28591,16364,21495,23866,20925,15322,11116,7507,4065,2586,1444,766,3.470603,28.102,0.000,100.797,,,
6720,56000,42850,33965,18310,16225,27685,15955,20871,23376,20531,14921,10960,7390,4114,2623,1530,856,3.398993,28.154,0.000,100.796,,,
6780,54536,41744,32906,17537,15736,26573,15073,19879,22515,19681,14351,10704,7011,3846,2563,1354,758,3.278261,28.206,0.000,100.796,,,
6840,54666,41882,33196,17265,15737,26824,15363,19798,22613,19535,14358,10587,7074,3734,2391,1435,837,3.284597,28.257,0.000,100.795,,,
6900,75459,57126,45549,24659,22725,37596,21553,28088,31503,28078,21240,16436,11800,7166,5455,3723,3714,4.776458,28.308,0.000,100.796,,,
6960,90309,65834,53190,28418,26458,43740,25276,32038,36354,32082,24595,19248,14342,8784,6766,5064,4865,5.598797,28.360,0.000,100.796,,,
7020,91690,66448,52799,28223,26040,43314,24276,31367,35768,31308,24300,18758,13800,8458,6606,4776,4370,5.522980,28.406,0.000,100.800,,,
7080,96890,71784,60000,31930,30703,50680,28777,37685,43151,38792,30649,24820,18682,11796,9594,7117,6794,6.578438,28.456,0.000,100.796,,,
7140,102597,77734,67067,36920,37339,60804,35498,47006,55172,51443,41957,34980,27613,18268,14690,11442,10666,8.210638,28.504,0.000,100.796,,,
7200,107968,81798,71370,39319,40198,64042,37949,50470,59143,55078,45156,37377,29420,19608,15398,11759,11471,8.726932,28.561,0.000,100.797,,,
7260,100928,78575,68888,38559,40117,64416,38308,50912,60285,56208,45657,38072,29874,19378,15582,11768,11439,8.668506,28.597,0.000,100.796,,,
7320,92953,75533,69281,39669,42180,68536,41364,55892,66645,63008,52503,42935,34072,22079,17349,13252,12116,9.238237,28.644,0.000,100.797,,,
7380,89490,77577,75342,44847,53856,83288,51960,71129,88296,86029,73033,63011,50879,34024,27918,21883,20717,11.861301,28.689,0.000,100.796,,,
7440,116564,92087,85311,49083,58573,88934,54795,74040,89962,87556,74363,63464,51231,34326,28445,22488,22483,12.681067,28.735,0.000,100.798,,,
7500,128076,99217,88192,50124,56931,87400,52524,70197,84782,80287,67006,55989,45666,30264,24877,19442,19010,12.152296,28.781,0.000,100.797,,,
7560,126737,97173,86886,48439,53258,83193,49718,66241,78931,74047,60997,51033,40517,27091,21761,17314,16948,11.368291,28.826,0.000,100.798,,,
7620,120091,94536,84577,47600,52508,81679,49277,65318,77913,73847,60997,51327,40364,26649,21771,16475,15486,11.161418,28.872,0.000,100.798,,,
7680,130266,100989,88986,49957,55459,86024,51074,67346,80467,76069,62378,52369,41852,27401,22311,17114,16173,11.693907,28.916,0.000,100.796,,,
7740,153497,112930,95193,51943,57140,86872,51094,67221,79208,74324,61338,51364,41056,27464,22253,17439,17155,12.031954,28.958,0.000,100.798,,,
7800,154100,112112,93757,51040,56556,86817,51483,67254,80074,74586,61453,51592,41282,27130,22212,17006,16832,12.000093,29.000,0.000,100.800,,,
7860,147479,111175,96654,53442,61322,93718,55093,73256,86869,81692,67136,55968,44297,29466,23553,17806,16795,12.683155,29.052,0.000,100.799,,,
7920,145232,111481,98769,55456,65102,97606,58241,77743,92995,88094,73123,60677,48764,32505,26081,20300,19459,13.414674,29.095,0.000,100.800,,,
7980,129119,103754,96263,55387,69458,102644,62592,84720,103762,100702,83909,71215,57934,38827,31589,24233,22691,14.434479,29.134,0.000,100.803,,,
8040,116957,97682,94328,55176,72416,106275,65908,89754,111474,108410,92030,78987,64452,43337,35510,27569,26127,15.133960,29.179,0.000,100.805,,,
8100,101761,90989,93423,56767,82955,116833,74434,102800,131162,129952,112878,98528,82472,56260,47492,37565,35643,17.454859,29.222,0.000,100.801,,,
8160,96760,89137,92432,56226,83992,117003,74773,103553,131564,130598,112988,99256,82249,56708,47966,37795,36962,17.513741,29.265,0.000,100.802,,,
8220,105484,93759,95454,57103,83171,117110,74162,102506,128009,126381,109020,95152,77786,53160,44211,34885,33161,17.185953,29.304,0.000,100.806,,,
8280,133873,113845,110825,64256,91896,126621,79143,106893,132181,128901,108191,92818,74981,51109,42563,33106,32197,18.123165,29.344,0.000,100.804,,,
8340,129810,110483,107929,62547,90995,124600,77572,106486,132371,129876,111702,96880,79953,54989,46224,36287,34806,18.326759,29.392,0.000,100.805,,,
8400,130932,111589,108892,63094,90284,125008,77706,104589,130773,127565,109505,94994,77328,52742,43605,33898,31768,18.004244,29.428,0.000,100.806,,,
8460,131999,110939,107334,62268,87101,121149,74991,101857,125950,122347,104543,90868,74577,50210,41582,32393,30226,17.429520,29.466,0.000,100.808,,,
8520,129879,110064,106394,61862,84498,118587,72825,99384,122329,118882,100538,86668,71069,48319,39814,30702,28525,16.891472,29.506,0.000,100.809,,,
8580,121800,104957,102498,59725,82212,115450,71606,96855,119615,116641,99197,85168,70165,47468,39658,30662,29421,16.512159,29.557,0.000,100.806,,,
8640,116434,102364,101814,59485,83304,116669,73046,99130,122445,118512,101563,87133,72037,48664,40179,30960,29861,16.669563,29.592,0.000,100.802,,,
8700,110974,99033,100097,59640,86612,120013,75797,103251,130131,128118,109635,95254,79481,54267,44892,34858,32982,17.538509,29.639,0.000,100.804,,,
8760,105873,96067,98846,58803,87306,120359,76044,104403,132347,131766,114647,100270,83498,57065,48214,37568,35213,17.875267,29.677,0.000,100.808,,,
8820,97530,90323,93031,56750,85317,116547,74188,103312,131628,132490,115930,102911,87598,60691,51488,41128,38961,17.909899,29.711,0.000,100.810,,,
8880,93781,87009,91785,56019,87767,118753,76384,107097,137536,140148,124168,110904,94506,66291,56939,45835,44328,18.787161,29.749,0.000,100.810,,,
8940,91275,86078,91023,55780,90086,120556,77957,109805,142177,145526,129344,115957,98779,69883,60221,48951,47441,19.289091,29.795,0.000,100.813,,,
9000,90835,84266,88702,53713,81814,112129,72879,101352,130072,132142,117102,104502,89182,62653,54202,44448,43246,17.722506,29.830,0.000,100.815,,,
9060,89854,83367,87365,52819,77426,107750,68649,96333,122850,123257,108470,96169,80850,56664,48442,39579,37873,16.632957,29.864,0.000,100.813,,,
9120,89102,81875,85101,51444,72049,103326,65176,90735,115343,114942,99555,87388,73035,50102,42290,33458,31515,15.390867,29.904,0.000,100.812,,,
9180,86961,79566,81463,49465,65296,95668,60888,83851,105450,104201,89728,78966,65248,45067,37824,30448,28247,14.132496,29.941,0.000,100.819,,,
9240,83967,75542,76295,45947,56788,85984,53743,73841,91255,89446,76371,65905,54142,36842,30916,24615,22538,12.300143,29.976,0.000,100.819,,,
9300,82809,74338,74034,44432,53602,82645,51331,70367,87036,84299,71622,61854,50591,34526,29157,22668,20401,11.711901,30.011,0.000,100.820,,,
9360,83417,74462,73871,44005,53428,81987,51080,69610,85871,83420,70586,60030,49277,33457,27421,21586,19073,11.512000,30.053,0.000,100.823,,,
9420,83908,74545,74230,43871,52680,82629,51252,70258,86381,83816,70390,60012,48232,32565,26509,20424,17127,11.459977,30.097,0.000,100.824,,,
9480,84343,75460,76937,45772,56109,86106,53261,73639,90903,89006,74936,64034,51804,34613,28171,21237,17886,12.016558,30.130,0.000,100.826,,,
9540,83693,74818,74788,44505,54781,84175,52412,71698,88667,86260,73589,62542,51587,34759,28155,21410,17883,11.810832,30.161,0.000,100.824,,,
9600,82909,74358,74593,44328,53339,82913,51337,70659,87143,84039,70932,60868,49064,32999,27080,20446,16979,11.537844,30.201,0.000,100.825,,,
9660,81725,72804,71873,42958,50793,79570,49127,67231,82561,79915,67074,57536,46122,30740,25064,19011,15828,10.979465,30.230,0.000,100.826,,,
9720,82158,73232,72945,43358,51427,80601,49482,67800,83336,80470,67452,56344,45842,30058,24044,18067,14465,11.003739,30.264,0.000,100.826,,,
9780,80763,71897,70772,41929,48981,77181,47150,64581,79604,76351,63143,53098,42554,27738,22307,16417,13073,10.463179,30.296,0.000,100.825,,Filter Warning,
9840,80598,71362,70330,41817,48839,77082,47187,64280,78600,75509,62601,52523,42291,27733,21974,16008,12622,10.346852,30.321,0.000,100.825,,Filter Warning,
9900,79478,69752,68342,40289,46024,73257,45447,61620,75077,72118,59728,49965,40085,26273,20631,15225,11889,9.904876,30.348,0.000,100.824,,Filter Warning,
9960,78120,68851,67147,39962,44567,71447,43874,59244,71958,68765,57151,47798,37331,24519,19041,13713,10702,9.500653,30.377,0.000,100.825,,Filter Warning,
10020,77187,67268,65717,39088,43156,69161,42217,57500,69563,66592,54491,45141,35522,22968,18019,13083,9763,9.167573,30.413,0.000,100.826,,Filter Warning,
10080,77197,67560,65720,38745,43519,69328,42221,57809,69308,65961,54143,44937,35349,22508,17482,12384,9373,9.131221,30.437,0.000,100.825,,Filter Warning,
10140,76674,66226,64160,38011,41887,67312,41253,55950,66902,63313,51910,42949,33298,21255,16432,11691,8473,8.819921,30.475,0.000,100.826,,Filter Warning,
