Instrument Name,Optical Particle Sizer
Model Number,3330
Serial Number,3330224703
Firmware Version,1.4
Calibration Date,2022/11/22
Protocol Name_Number,TEST_039
Test Start Time,07:53:22
Test Start Date,2024/02/15
Test Length [D:H:M:S],0:2:54:0
Sample Interval [H:M:S],0:1:0
Number Channels Enabled,16
Bin 1 Cut Point (um),0.300
Bin 2 Cut Point (um),0.374
Bin 3 Cut Point (um),0.465
Bin 4 Cut Point (um),0.579
Bin 5 Cut Point (um),0.721
Bin 6 Cut Point (um),0.897
Bin 7 Cut Point (um),1.117
Bin 8 Cut Point (um),1.391
Bin 9 Cut Point (um),1.732
Bin 10 Cut Point (um),2.156
Bin 11 Cut Point (um),2.685
Bin 12 Cut Point (um),3.343
Bin 13 Cut Point (um),4.162
Bin 14 Cut Point (um),5.182
Bin 15 Cut Point (um),6.451
Bin 16 Cut Point (um),8.031
Bin 17 Cut Point (um),10.000
Alarm,0.000 #/cm3
Density,1.000
Refractive Index,0.000-0.000j
Size Correction Factor,0.000
FlowCal,1.000
DeadTime Correction Factor,1.000
Errors,Filter Warning
Number of Samples,174
,
Elapsed Time [s],Bin 1,Bin 2,Bin 3,Bin 4,Bin 5,Bin 6,Bin 7,Bin 8,Bin 9,Bin 10,Bin 11,Bin 12,Bin 13,Bin 14,Bin 15,Bin 16,Bin 17,Deadtime (s),Temperature (C),Humidity (%),Ambient Pressure (kPa),Alarms,Errors,
60,69736,54067,46994,24031,24780,42886,26849,36133,45514,44614,38672,33997,28577,20886,18998,16916,22506,7.352785,11.786,0.000,100.738,,,
120,69810,55543,48313,26079,26003,45272,27860,37465,47308,46548,40017,34735,29253,20186,17494,14369,15601,7.024600,12.209,0.000,100.743,,,
180,81376,62249,52194,27415,27087,46383,28024,37471,46360,44805,37935,32385,26897,18266,15601,12588,12183,7.065621,12.561,0.000,100.735,,,
240,105436,79376,60869,32733,34175,54942,34031,45615,58025,57251,49734,43177,35766,25152,21653,17712,17898,9.487437,12.877,0.000,100.731,,,
300,153255,107338,73998,39152,37393,57571,34928,46368,57584,56288,48102,41800,34390,23779,20110,16476,16622,10.319573,13.200,0.000,100.726,,,
360,193819,133752,85609,45494,40334,60870,36432,48027,59463,58039,49228,42310,34962,23826,20022,16182,15588,11.182550,13.511,0.000,100.730,,,
420,178851,123444,81160,43618,38539,59129,35180,46563,57213,55098,46709,39890,32703,22144,18418,14851,14165,10.411015,13.812,0.000,100.731,,,
480,159325,110455,73569,38772,34114,53588,31774,41690,50905,49050,41579,35317,28967,19276,15924,12917,11981,9.235223,14.107,0.000,100.730,,,
540,141104,99833,71682,38253,35651,56885,34316,45425,55417,52964,44338,38064,30386,20851,17008,13484,12689,9.318639,14.397,0.000,100.732,,,
600,141396,100879,72544,38599,36631,57846,35157,46490,57491,55218,46300,38992,31874,21240,17963,13664,12571,9.545949,14.678,0.000,100.733,,,
660,130775,98909,77043,42817,45984,71193,43325,59369,73518,72175,60992,52029,42889,28310,23716,18352,16723,11.389848,14.963,0.000,100.732,,,
720,124575,94291,76050,42079,46841,71405,44296,60171,75458,73845,63342,54663,45067,30555,25658,20240,18550,11.613235,15.238,0.000,100.732,,,
780,111141,89076,77337,44709,58507,86638,55166,75985,98544,99836,87506,76997,64953,44696,38507,31274,29881,14.524399,15.500,0.000,100.732,,,
840,105024,86989,79837,46567,65768,94192,60322,84641,111417,112257,98525,87415,73619,51660,44366,36368,35463,16.056810,15.772,0.000,100.732,,,
900,116251,93012,81537,46514,60672,87919,55678,77564,98902,99358,85834,75611,63077,43188,37074,30266,28812,14.540586,16.031,0.000,100.732,,,
960,127797,97987,82578,45802,55642,82074,50782,69269,87818,86736,73862,64578,53654,36750,31505,25459,25027,13.331530,16.288,0.000,100.731,,,
1020,132402,99816,83493,46290,55386,81223,49408,67817,85318,83477,71405,61316,50787,34472,28702,23061,21940,12.889555,16.540,0.000,100.733,,,
1080,133515,100276,82646,45629,53390,78710,48410,65174,81889,79614,67806,58796,48234,33066,27577,21972,20230,12.513806,16.794,0.000,100.732,,,
1140,137642,103017,85233,46236,54045,79622,48532,64932,80947,78377,66510,56878,46380,31544,26377,20993,19094,12.383739,17.027,0.000,100.733,,,
1200,135526,103349,86861,47762,57195,83845,51346,68846,84450,81725,68838,58644,47502,32188,26851,20895,19412,12.794965,17.274,0.000,100.733,,,
1260,132208,101686,85900,47603,56607,82686,50573,68138,84132,81095,68544,57979,47067,31996,26174,20388,18475,12.550423,17.509,0.000,100.733,,,
1320,133392,101680,84242,46292,54070,79641,48220,64653,79616,76665,63951,54232,43686,29373,23877,18658,16436,11.984562,17.739,0.000,100.733,,,
1380,136865,103354,86338,47801,56725,82474,50025,67034,82866,80332,67068,56904,46271,31526,26035,20094,18654,12.526728,17.959,0.000,100.733,,,
1440,132991,100985,86404,48240,58857,84213,51669,69704,86533,84120,70942,60754,50254,33988,28630,22741,21189,12.995884,18.189,0.000,100.734,,,
1500,134220,102389,86830,48053,59523,85070,51874,69376,86656,83559,71139,60560,49897,34247,28583,22585,21405,13.027359,18.407,0.000,100.735,,,
1560,130878,100513,86220,47748,57702,83141,50885,68162,84709,82187,69392,58792,48811,33121,27335,21432,20097,12.682199,18.621,0.000,100.738,,,
1620,134415,114144,107876,62253,88368,121350,74686,100858,124236,118729,97887,82088,65886,44021,35590,27661,24262,17.305504,18.831,0.000,100.741,,,
1680,135149,118270,112790,65015,92507,127303,78189,104865,127752,121362,99948,83718,65826,43790,35297,26598,22923,17.669718,19.042,0.000,100.742,,,
1740,132656,112883,105386,60163,81402,113281,69285,92243,113370,108347,88841,73556,58836,38826,31624,24413,20904,15.914395,19.251,0.000,100.749,,,
1800,128904,108358,100519,57765,75697,106556,65271,86929,106437,100562,83054,69319,55311,37021,29268,21880,18834,14.942404,19.447,0.000,100.747,,,
1860,124719,104718,96835,55002,71718,101158,62335,82940,101848,97486,80729,67877,54473,36208,29473,22468,20108,14.408989,19.651,0.000,100.748,,,
1920,120927,101941,96128,55741,74545,103712,64332,86715,107135,102967,86548,73062,59734,39827,32598,25037,22087,15.041626,19.841,0.000,100.750,,,
1980,115460,101168,97222,56692,81829,111967,70055,95384,120242,118132,99497,84713,69970,46856,38858,30532,26654,16.601248,20.032,0.000,100.754,,,
2040,110243,98075,96645,57481,86589,116826,73565,101844,129134,128395,109371,95258,79067,54129,45776,36491,33729,17.893768,20.216,0.000,100.752,,,
2100,109402,97197,94549,56186,82999,111817,70622,96757,122721,120241,102208,88444,72949,50149,42141,33821,32124,16.980574,20.397,0.000,100.755,,,
2160,108147,95531,93871,55192,79742,109535,69382,94202,119051,117043,99379,85725,70055,48592,40635,32426,30260,16.509916,20.579,0.000,100.758,,,
2220,107200,93598,89537,52036,71715,100211,61989,85186,106548,103813,87269,75148,61379,42069,35190,27733,25951,14.867709,20.755,0.000,100.757,,,
2280,106636,92523,88093,51661,70430,98164,61297,83448,104439,102105,85962,74186,60806,42278,35582,28284,27156,14.639272,20.923,0.000,100.757,,,
2340,106017,91560,87343,51117,68244,95490,59406,80695,101231,98333,82929,71290,58257,40026,33274,26304,23936,14.076435,21.090,0.000,100.761,,,
2400,103633,88521,82708,48187,61682,88299,54647,74205,92269,89695,74905,63433,51673,35679,29282,23308,21028,12.901682,21.251,0.000,100.762,,,
